instrument,gate_median_ms,tau_ms,policy,rejection_mode,timeout_rate,baseline_pnl_bps,gated_pnl_bps,net_impact_bps,n_foregone,bps_foregone,n_avoided,bps_avoided,n_scaled_timeout,bps_scaled_timeout_repricing_impact,covid_net_impact_bps,own_stress_net_impact_bps,rest_net_impact_bps
USDJPY,150.0,10.0,S,informed,0.9951830443159922,1537.8920685589342,711.6565700468177,-826.2354985121159,0,0.0,0,0.0,1033.0,-0.008560755256338634,-549.2680342635238,-243.10602366270632,-33.86144058588553
USDJPY,150.0,25.0,H,uninformed,0.964354527938343,1537.8920685589342,-601.9243123395116,-2139.816380898446,296,21532.82494137733,705,19392.999749698858,,,-1129.044248478915,-542.0446402940388,-468.7274921254917
USDJPY,150.0,25.0,H,informed,0.964354527938343,1537.8920685589342,-539.9748969564205,-2077.8669655153544,296,21532.82494137733,706,19454.950042634136,,,-1129.044248478915,-542.0446402940388,-406.7780767424006
USDJPY,150.0,25.0,S,uninformed,0.964354527938343,1537.8920685589342,467.9618046461703,-1069.9302639127638,0,0.0,0,0.0,1001.0,-0.026478853554265845,-564.5198920190933,-271.030205064139,-234.38016682953105
USDJPY,150.0,25.0,S,informed,0.964354527938343,1537.8920685589342,529.9112200292615,-1007.9808485296726,0,0.0,1,61.950292935279236,1001.0,-0.026478853554265845,-564.5198920190933,-271.030205064139,-172.43075144643979
USDJPY,150.0,50.0,H,uninformed,0.8795761078998073,1537.8920685589342,-492.61519444351836,-2030.5072630024526,269,19848.926643117058,646,17818.406758933495,,,-1129.044248478915,-523.8326695513599,-377.63034497217757
USDJPY,150.0,50.0,H,informed,0.8795761078998073,1537.8920685589342,-432.6552563759402,-1970.5473249348745,268,19832.7755758605,646,17862.217037091323,,,-1129.044248478915,-523.8326695513599,-317.6704069045993
USDJPY,150.0,50.0,S,uninformed,0.8795761078998073,1537.8920685589342,523.5817666574004,-1014.3103019015338,1,16.151067256555805,1,18.140014777450283,913.0,-0.057454751311025246,-564.5184015135532,-261.93237921009165,-187.85952117788855
USDJPY,150.0,50.0,S,informed,0.8795761078998073,1537.8920685589342,583.5417047249786,-954.3503638339556,0,0.0,1,61.950292935279236,913.0,-0.057454751311025246,-564.5184015135532,-261.93237921009165,-127.8995831103104
USDJPY,150.0,100.0,H,uninformed,0.6570327552986512,1537.8920685589342,-804.3445482410098,-2342.236616799944,210,15323.320065904762,475,12981.155430584357,,,-865.7529561521817,-388.3028382862076,-1088.1808223615549
